dataset_name,sensitive_name,classifier_name,tot_inputs_aFairAMGA,tot_inputs_bExpGA,tot_inputs_cSBFT,tot_inputs_dAEQUITAS,disc_inputs_aFairAMGA,disc_inputs_bExpGA,disc_inputs_cSBFT,disc_inputs_dAEQUITAS,disc_rate_aFairAMGA,disc_rate_bExpGA,disc_rate_cSBFT,disc_rate_dAEQUITAS,total_generated_aFairAMGA,total_generated_bExpGA,total_generated_cSBFT,total_generated_dAEQUITAS,duplicates_aFairAMGA,duplicates_bExpGA,duplicates_cSBFT,duplicates_dAEQUITAS,duplication_rate_aFairAMGA,duplication_rate_bExpGA,duplication_rate_cSBFT,duplication_rate_dAEQUITAS,elapsed_time_aFairAMGA,elapsed_time_bExpGA,elapsed_time_cSBFT,elapsed_time_dAEQUITAS,time_to_1000_disc_aFairAMGA,time_to_1000_disc_bExpGA,time_to_1000_disc_cSBFT,time_to_1000_disc_dAEQUITAS,egs_aFairAMGA,egs_bExpGA,egs_cSBFT,egs_dAEQUITAS,inference_count_aFairAMGA,inference_count_bExpGA,inference_count_cSBFT,inference_count_dAEQUITAS
census,race,RandomForestClassifier,332711,98424,191845,6387,302010,40892,63024,238,90.73,41.38,32.85,3.35,441567,181920,254175,150747,108855,83496,62331,144360,24.73,45.9,24.49,95.65,3300.87,3300.61,3301.31,1490.97,28.57,173.97,196.79,,91.5,12.39,19.09,0.14,1187141,,1211647.4,
census,race,SVC,758451,202347,672828,2706,453214,23230,108492,35,59.6,11.48,16.13,1.18,1000000,456628,1000060,50717,241549,254280,327232,48010,24.15,55.7,32.72,94.7,1378.83,3300.11,2310.88,127.83,12.22,1850.65,79.85,,329.25,7.04,46.96,0.29,2860305,,4817752.4,
census,race,Sequential,315109,30634,178686,8192,270029,7736,53778,696,85.69,21.3,30.09,8,390200,155955,236995,274804,75091,125321,58308,266612,19.24,85.61,24.6,97.02,3301.42,3300.36,3301.26,2294.07,32.44,2144.1,190.11,3107.35,81.79,2.34,16.29,0.26,1062734,,1085871,
census,sex,DecisionTreeClassifier,787572,556196,794481,6312,768430,383433,359480,478,97.59,68.94,45.22,10.2,1000000,1000083,1000060,194599,212428,443887,205579,188287,21.24,44.39,20.56,97.03,159.22,199.8,243.79,26.28,0.35,3.48,1.55,,4830.06,1919.29,1474.24,19.14,1595131,,2000120,
census,sex,LogisticRegression,757827,546042,721071,5548,535386,132757,185148,277,70.65,24.31,25.68,4.12,1000000,1000116,1000060,143648,242173,454074,278989,138100,24.22,45.4,27.9,96.43,118.01,146.38,193.69,17.03,0.45,5.85,3.36,,4536.68,906.96,955.9,13.77,1504234,,2000120,
census,sex,RandomForestClassifier,607886,340998,459424,8125,579651,182252,165178,605,95.36,53.45,35.91,6.25,801867,608377,601301,245428,193981,267378,141877,237303,24.09,43.95,23.6,96.65,3300.83,3300.84,3301.11,733.25,11.5,43.56,85.63,899.88,175.61,55.21,50.04,0.7,1187462,,1202601.6,
census,sex,SVC,726415,413642,668284,1530,330771,27951,63501,8,45.55,6.47,9.51,0.37,1000000,1000100,1000060,25557,273585,586458,331776,24027,27.36,58.64,33.18,94.04,723.78,2383.62,1012.73,28.34,14.99,1491.21,62.76,,457.09,11.73,62.72,0.24,1454600,,2000120,
census,sex,Sequential,533927,81827,394915,4841,371228,14134,100128,164,69.53,16.55,25.35,3.11,694800,527975,538005,118393,160873,446148,143090,113552,23.15,85.21,26.6,95.99,3301.76,3300.6,3301.14,585.69,23.18,1033.9,108.45,,112.43,4.28,30.33,0.24,1070994,,1076010,
compas,age,DecisionTreeClassifier,735103,520851,793099,16740,723403,447542,491630,5562,98.41,85.93,61.99,33.25,1000000,1000008,1000062,1033023,264897,479157,206963,1016282,26.49,47.92,20.7,98.38,207.97,855.05,558.76,155.86,0.51,3.53,1.16,29.06,3548.13,538.82,879.99,36.18,1893462,,6016586.5,
compas,age,LogisticRegression,716318,502415,733179,20875,626552,268121,290872,1420,87.47,53.37,39.67,6.88,1000000,1000007,1000062,516760,283682,497592,266883,495884,28.37,49.76,26.69,95.82,225.02,749.61,502.82,166.55,0.76,4.64,2.79,116.82,2791.16,370.47,578.54,8.42,3665007,,7709724.25,
